Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.6642335766423357,0.2857142857142857,0.9798657718120806,0.44242424242424244,0.9192008674514361
Decision Tree,0.8093065693430657,0.3951048951048951,0.7583892617449665,0.5195402298850574,0.8035406759601142
Random Forest,0.8996350364963503,0.7468354430379747,0.3959731543624161,0.5175438596491229,0.9134391189414826
XGBoost,0.8786496350364964,0.5439560439560439,0.6644295302013423,0.5981873111782477,0.9100090005173527
