date,mean_temperature,max_temperature,min_temperature,mean_relative_humidity,max_relative_humidity,mean_wind_speed,max_wind_speed,max_wind_gust,precipitation_sum,mean_vpd,max_vpd,mean_cloud_cover,mean_dew_point,mean_apparent_temperature,max_apparent_temperature,min_apparent_temperature
2000-01-01,23.675,28.9,17.8,65.33333333333333,91.0,7.95,11.2,28.1,0.0,1.1533333333333333,2.47,27.541666666666668,16.025000000000002,24.679166666666664,28.8,19.2
2000-01-02,23.775000000000002,29.3,18.0,58.47083333333333,92.0,8.258333333333333,18.0,27.0,24.3,2.535,30.3,28.015416666666667,14.125,24.335416666666664,30.3,19.2
2000-01-03,24.5,29.6,18.1,59.06666666666666,89.0,7.625,18.1,24.8,25.4,2.57875,30.8,59.90958333333333,15.0375,25.385416666666668,30.8,19.4
2000-01-04,24.53333333333333,30.1,19.0,58.29583333333333,86.0,8.254166666666666,19.0,26.3,25.4,2.6350000000000002,31.3,35.0575,14.825000000000001,25.360416666666666,31.3,20.0
2000-01-05,24.916666666666668,30.3,18.3,64.72083333333333,87.0,7.879166666666666,18.3,26.3,26.5,2.4404166666666667,31.4,65.5575,16.916666666666668,26.447916666666668,31.4,19.5
2000-01-06,24.979166666666668,28.3,21.8,68.8875,83.0,7.729166666666667,21.8,24.5,27.3,2.1845833333333333,30.0,84.96166666666666,18.287499999999998,27.222916666666666,30.0,24.2
2000-01-07,25.0,28.2,21.9,60.125,80.0,6.333333333333333,11.0,26.6,0.0,1.33375,2.26,88.04166666666667,16.241666666666667,26.25,27.8,24.1
2000-01-08,25.0,28.0,21.1,62.708333333333336,80.0,9.066666666666666,21.1,28.1,26.3,2.335,29.0,80.6025,16.875,26.337500000000002,29.0,23.0
2000-01-09,24.962500000000002,28.3,21.3,69.34583333333333,94.0,7.0249999999999995,21.3,24.5,28.5,2.1854166666666663,30.2,69.04083333333334,18.345833333333335,27.285416666666666,30.2,22.9
2000-01-10,24.229166666666668,26.3,22.2,72.22083333333333,94.0,7.195833333333333,22.1,25.7,26.7,1.9304166666666667,28.0,81.25125,18.45,26.71875,28.0,25.7
2000-01-11,24.579166666666666,27.0,21.7,73.25,91.0,7.370833333333334,21.7,33.1,27.3,1.9529166666666666,28.7,69.675,19.0,27.322916666666668,28.7,25.1
2000-01-12,24.945833333333336,28.5,21.1,66.77083333333333,94.0,6.120833333333334,21.1,24.3,27.1,2.2783333333333333,30.0,38.93625,17.608333333333334,27.125,30.0,24.3
2000-01-13,24.75,28.8,21.0,68.20833333333333,86.0,4.8999999999999995,8.9,18.7,0.0,1.0745833333333332,1.99,46.791666666666664,18.154166666666665,26.995833333333334,30.7,23.3
2000-01-14,25.333333333333332,30.8,20.9,64.08333333333333,87.0,5.033333333333333,8.8,22.0,0.0,1.2908333333333333,2.59,68.70833333333333,17.483333333333334,27.420833333333334,33.1,23.4
2000-01-15,26.008333333333336,31.6,20.8,64.08333333333333,92.0,6.895833333333333,9.8,23.4,0.0,1.365,2.72,79.45833333333333,18.020833333333332,28.145833333333332,34.1,22.9
2000-01-16,25.883333333333336,30.9,21.0,65.28750000000001,95.0,8.158333333333333,21.0,26.6,27.9,2.54,31.9,49.62125,17.720833333333335,27.87291666666667,31.9,24.3
2000-01-17,25.09583333333333,30.7,18.9,63.0,95.0,7.504166666666666,11.6,29.2,0.0,1.3258333333333334,2.71,77.83333333333333,16.845833333333335,26.675,31.9,20.5
2000-01-18,24.820833333333336,31.2,18.7,56.125,88.0,6.758333333333333,13.8,30.6,0.0,1.5599999999999998,3.12,11.833333333333334,14.487499999999999,25.662499999999998,31.6,20.4
2000-01-19,25.391666666666666,31.6,19.2,55.291666666666664,80.0,6.020833333333333,11.6,29.5,0.0,1.61125,3.12,1.0,15.054166666666667,26.525000000000002,32.7,20.9
2000-01-20,26.054166666666664,32.8,20.1,53.949999999999996,85.0,6.575,20.1,22.7,27.1,3.10125,34.3,1.4033333333333333,14.516666666666666,27.139583333333334,34.3,22.1
2000-01-21,25.787499999999998,32.5,19.9,56.125,87.0,5.5625,10.8,21.6,0.0,1.6420833333333331,3.25,1.875,15.5875,27.25,35.1,21.0
2000-01-22,25.5125,32.1,19.6,50.67083333333333,78.0,7.495833333333334,19.6,28.1,25.9,3.077916666666667,33.0,1.0870833333333334,13.225,25.931250000000002,33.0,20.8
2000-01-23,25.5125,33.0,18.1,50.5,89.0,6.05,10.7,22.0,0.0,1.8441666666666665,3.8,60.791666666666664,13.241666666666667,26.116666666666664,34.3,19.6
2000-01-24,26.008333333333336,32.8,19.4,49.99166666666667,81.0,8.166666666666666,19.4,27.0,26.3,3.19375,33.6,19.37625,13.25,26.297916666666666,33.6,20.05
2000-01-25,25.291666666666668,31.3,20.1,57.541666666666664,84.0,7.6625000000000005,12.0,29.5,0.0,1.545,3.03,9.333333333333334,15.4,26.333333333333332,32.3,22.1
2000-01-26,25.0625,31.1,19.7,51.083333333333336,87.0,7.908333333333334,10.7,28.8,0.0,1.7295833333333333,3.32,24.416666666666668,13.0875,25.258333333333336,30.9,21.4
